problem_id,concept
1,278528
2,266240
3,2359296
4,262152
5,278528
6,278528
7,266240
8,278528
9,295936
10,278528
11,278528
12,278528
13,278528
14,278528
15,294914
16,278528
17,278528
18,294914
19,2097152
20,10485760
21,2097152
22,10485760
23,10485760
24,2097152
25,10485760
26,2101248
27,2129920
28,2097152
29,10485760
30,2097152
31,2134016
32,2097152
33,10485760
34,10485760
35,2101248
36,2134016
37,2625536
38,524544
39,4325376
40,16385
41,8392704
42,8388768
43,8404992
44,8650752
45,10490112
46,8404992
47,8404992
48,8404992
49,10485760
50,8392704
51,8667136
52,8421392
53,8404992
54,8404992
55,25690112
56,8413185
57,8392704
58,8404992
59,16388
60,8409088
61,2101248
62,256
63,1081408
64,4325376
65,16384
66,384
67,1048832
68,1048832
69,16386
70,272
71,32800
72,1085440
73,256
74,256
75,256
76,4210688
77,2097152
78,16384
79,2621456
80,262146
81,2
82,16386
83,32768
84,16386
85,2
86,16386
87,8388866
88,288
89,32770
90,32770
91,258
92,258
93,256
94,2
95,278530
96,18432
97,16384
98,16384
99,16384
100,16384
101,16384
102,16384
103,16384
104,16384
105,16384
106,16384
107,16384
108,49152
109,8404992
110,8519680
111,147456
112,16
113,1065216
114,163840
115,49152
116,36864
117,2129920
118,65536
119,16384
120,65552
121,256
122,262144
123,10485761
124,32784
125,180224
126,32770
127,49154
128,10485760
129,16384
130,32768
131,262144
132,278528
133,9453568
134,2097152
135,1048832
136,49664
137,2
138,262144
139,294928
140,16384
141,4325376
